IMG_acc	Genbank_acc	Locus_tag	Locus_tag_orig	Strain_name	Strain_name_orig	Phylotype	SDP	Species	Host	Study	Origin	Ref
2684622922	QGLN	Ga0133555		ESL0169		Gilliamella	gilli_2	Gilliamella apis	Apis mellifera	Ellegaard_Engel (2018)	"Switzerland, Engel apiary"	Yes
2684622923	QGLO	Ga0133556		ESL0172		Gilliamella	gilli_2	Gilliamella apis	Apis mellifera	Ellegaard_Engel (2018)	"Switzerland, Engel apiary"	No
NA	NAST	B6C99		N-G2		Gilliamella	gilli_2	Gilliamella apis	Apis mellifera	Ludvigsen et al. (2017)	"Norway, Aas"	No
NA	NASN	B6D18		A7		Gilliamella	gilli_2	Gilliamella apis	Apis mellifera	Ludvigsen et al. (2017)	"USA, Arizona"	No
NA	LZGH	A9G16		P83G		Gilliamella	gilli_2	Gilliamella apis	Apis mellifera	Zheng et al. (2016)	"USA, Austin"	No
NA	LZGQ	A9G19		M1-2G		Gilliamella	gilli_2	Gilliamella apis	Apis mellifera	Zheng et al. (2016)	"USA, Austin"	No
NA	LZGI	A9G15		P62G		Gilliamella	gilli_2	Gilliamella apis	Apis mellifera	Zheng et al. (2016) 	"USA, Austin"	No
NA	NZ_NASJ00000000 	B6C96 		NO15 		Gilli-2		Gilliamella apis	Apis mellifera 	Ludvigsen et al. (2017)	"""Norway: Aas"" "	No
NA	NZ_NASV00000000 	B6D14 		N-G4 		Gilliamella	gilli_2	Gilliamella apis	Apis mellifera 	Ludvigsen et al. (2017)	"""Norway: Aas"" "	No
NA	NZ_NASS00000000 	B6D17 		N-G1 		Gilliamella	gilli_2	Gilliamella apis	Apis mellifera 	Ludvigsen et al. (2017)	"""Norway: Aas"" "	No
NA	NZ_NASL00000000 	B6D21 		AM1 		Gilli-2		Gilliamella apis	Apis mellifera 	Ludvigsen et al. (2017)	"""USA: Arizona"" "	No
	NZ_NASE	B6C88		NO16		Gilliamella	gilli_2	Gilliamella apis	Apis mellifera	Ludvigsen et al. (2017)	"Norway, Aas"	No
	NZ_JACFSF	H3U96		M0364		Gilliamella	gilli_2	Gilliamella	Apis mellifera	"Wu, J. and Zheng, H."	China	No
	NZ_JACFRC	H3T80		W8145		Gilliamella	gilli_2	Gilliamella	Apis mellifera	"Wu, J. and Zheng, H."	China	No
	NZ_JACFRE	H3T56		W8123		Gilliamella	gilli_2	Gilliamella	Apis mellifera	"Wu, J. and Zheng, H."	China	No
	NZ_JACFQD	H3T83		M0320		Gilliamella	gilli_2	Gilliamella	Apis mellifera	"Wu, J. and Zheng, H."	China	No
	NZ_JACFSE	H3U97		W8128		Gilliamella	gilli_2	Gilliamella	Apis mellifera	"Wu, J. and Zheng, H."	China	No
2684622924	QGLP	Ga0133557		ESL0177		Gilliamella	gilli_3	NA	Apis mellifera	Ellegaard_Engel (2018)	"Switzerland, Engel apiary"	Yes
2684622926	QGLR	Ga0133558		ESL0182		Gilliamella	gilli_3	NA	Apis mellifera	Ellegaard_Engel (2018)	"Switzerland, Engel apiary"	No
2785510746	NA 	Ga0307802		ESL0441		Gilliamella	gilli_4	NA	Apis cerana	Ellegaard et al. (2020)	"Tsukuba, Japan"	Yes
NA	LZGN	A9G10 		wkB308 		Gilliamella	gilli_4	NA	Apis cerana 	Zheng et al. (2016)	"""USA: Austin"" "	No
2785510744	NA 	Ga0307800		ESL0405		Gilliamella	gilli_5	NA	Apis cerana	Ellegaard et al. (2020)	"Yokohama, Japan"	Yes
2785510747	NA 	Ga0307803		ESL0443		Gilliamella	gilli_6	NA	Apis cerana 	Ellegaard et al. (2020)	"Tsukuba, Japan"	Yes
NA	LZEI	A9G07 		wkB72 		Gilliamella	gilli_6	NA	Apis cerana 	Zheng et al. (2016)	"""USA: Austin"" "	No
NA	LZGP	A9G08 		wkB195 		Gilliamella	gilli_6	NA	Apis cerana 	Zheng et al. (2016)	"""USA: Austin"" "	No
NA	LZGO	A9G09 		wkB292 		Gilliamella		NA	Apis cerana 	Zheng et al. (2016)	"""USA: Austin"" "	No
	NZ_LYST	A9G03		wkB171		Gilliamella	gilli_apis_andre	Gilliamella apicola	Apis andreniformis	Zheng et al.	"USA, Austin"	Yes
NA	LZGM	A9G11 		wkB108 		Gilliamella	gilli_apis_dorsa	NA	Apis dorsata 	Zheng et al. (2016)	"""USA: Austin"" "	No
NA	LZGL	A9G12 		wkB112 		Gilliamella	gilli_apis_dorsa	NA	Apis dorsata 	Zheng et al. (2016)	"""USA: Austin"" "	No
NA	LZGK	A9G13 		wkB178 		Gilliamella	gilli_apis_dorsa	NA	Apis dorsata 	Zheng et al. (2016)	"""USA: Austin"" "	Yes
NA	LZGS	A9G23 		App4-10 		Gilliamella	gilli_bombus	NA	Bombus appositus	Zheng et al. (2016)	"""USA: Austin"" "	No
NA	LZGT	A9G24 		App6-5 		Gilliamella	gilli_bombus	NA	Bombus appositus	Zheng et al. (2016)	"""USA: Austin"" "	No
	LZGY	A9G29		Fer2-1		Gilliamella	gilli_bombus	Gilliamella apicola	Bombus fervidus	Zheng et al. (2016)	"""USA: Austin"" "	No
2609460056	JFON	Ga0055041		wkB11		Gilliamella		NA	Bombus bimaculatus	Kwong et al. (2014b)	"USA, West Haven"	No
	NZ_LZGZ	A9G30		Fer4-1		Gilliamella	gilli_bombus	Gilliamella apicola	Bombus fervidus	Zheng et al. (2016)	"""USA: Austin"" "	No
NA	LZHA	A9G31 		Gris1-4 		Gilliamella		NA	Bombus griseocollis	Zheng et al. (2016)	"""USA: Austin"" "	No
	NZ_LZHB	A9G32		Gris3-2		Gilliamella	gilli_bombus	Gilliamella apicola	Bombus griseocollis	Zheng et al. (2016)	"USA, Austin"	No
