IMG_acc	Genbank_acc	Locus_tag	Locus_tag_orig	Strain_name	Strain_name_orig	Phylotype	SDP	Species	Host	Study	Origin	Ref
	NZ_JACFQZ	H3T86		W8113		Bifido	bifido_1.2	Bifidobacterium choladohabitans	Apis mellifera	"Wu, J. and Zheng, H."	China	No
	NZ_JACFQG	H3T90		W8117		Bifido	bifido_1.4	Bifidobacterium polysaccharolyticum	Apis mellifera	"Wu, J. and Zheng, H."	China	No
	NZ_JACFRB	H3T91		B14448H7		Bifido	bifido_1.4	Bifidobacterium polysaccharolyticum	Apis mellifera	"Wu, J. and Zheng, H."	China	Yes
	NZ_JACFQN	H3T92		W8112		Bifido	bifido_1.1	Bifidobacterium	Apis mellifera	"Wu, J. and Zheng, H."	China	Yes
	NZ_JACFQP	H3T93		M0404		Bifido	bifido_1.4	Bifidobacterium	Apis mellifera	"Wu, J. and Zheng, H."	China	No
	NZ_JACFRU	H3U87		W8101		Bifido	bifido_1.2	Bifidobacterium choladohabitans	Apis mellifera	"Wu, J. and Zheng, H."	China	No
	NZ_JACFRT	H3U88		W8120		Bifido	bifido_1.1	Bifidobacterium	Apis mellifera	"Wu, J. and Zheng, H."	China	No
	NZ_JACFRW	H3U89		W8104		Bifido	bifido_1.2	Bifidobacterium	Apis mellifera	"Wu, J. and Zheng, H."	China	Yes
	NZ_JACFSA	H3U98		W8116		Bifido	bifido_1.2	Bifidobacterium choladohabitans	Apis mellifera	"Wu, J. and Zheng, H."	China	No
	NZ_JACFSB	H3V04		M0353		Bifido	bifido_1.2	Bifidobacterium	Apis mellifera	"Wu, J. and Zheng, H."	China	No
	NZ_JACFSC	H3V06		W6238G3		Bifido	bifido_1.4	Bifidobacterium polysaccharolyticum	Apis mellifera	"Wu, J. and Zheng, H."	China	No
2684622917	QGLI00000000	Ga0133550		ESL0197		Bifido	bifido_2	Bifidobacterium indicum/coryneforme	Apis mellifera	Ellegaard_Engel (2018)	"Switzerland, Engel apiary"	No
2645728051	JXBX00000000.1	Ga0072398	JF68	Bma6		Bifido	bifido_2	Bifidobacterium indicum/coryneforme	Apis mellifera	Ellegaard et al. (2015)	"Sweden, Jamtland"	No
NA	CP006018.1	BINDI		LMG 11587		Bifido	bifido_2	Bifidobacterium indicum	?	Milani et al. (2014)	"""insect"""	Yes
NA	CP007287	BCOR		LMG 18911		Bifido	bifido_2	Bifidobacterium coryneforme 	Apis mellifera	Milani et al. (2014)	"""honeybee hindgut"""	No
	NZ_JACFSL	H3V08		M0307		Bifido	bifido_2	Bifidobacterium	Apis mellifera	"Wu, J. and Zheng, H."	China	No
2819902945	CP046394	Ga0372762		ESL_0368		Bombella	bom_1	Bombella	Apis mellifera	Bonilla-Rosso et al. (2019)	"Switzerland, Engel apiary"	Yes
2756170215	WNIJ00000000	Ga0216357		ESL_0385		Bombella	bom_apis_melli	Bombella	Apis mellifera	Bonilla-Rosso et al. (20190	"Switzerland, Engel apiary"	Yes
2791354941	NZ_JATM	Ga0308518		R-52487		Bombella	bom_bombus	Bombella intestini	Bombus lapidarius	Li et al. (2016)	Crop of Bombus lapidarius	Yes
	NZ_CP033087	D9V35		AMU001		Commensalibacter	com_1	Commensalibacter	Apis mellifera	"Siozios, S. et al."	"Mahe Island, Seychelles"	Yes
	NZ_JACFQT	H3T57		W6292M3		Commensalibacter	com_1	Commensalibacter	Apis mellifera	"Wu, J. and Zheng, H."	China	No
2513237339	AGFR	CIN		A911		Commensalibacter	com_drosophila	Commensalibacter intestini	Drosophila melagenogaster	"Public, not published?"	?	Yes
2775507278	ATSX	Ga0248239		MX01		Commensalibacter	com_monarch	Commensalibacter	Monarch butterfly	Servin-Garciduenas et al. (2014)	Mexico	Yes
2639763010	JXBZ00000000.1	Ga0070888	JG29	Hon2		Firm4	firm4_1	Lactobacillus mellis	Apis mellifera	Ellegaard et al. (2015)	"Sweden, Jamtland "	No
2758568560	NA 	Ga0227357		ESL0294		Firm4	firm4_1	Lactobacillus mellis	Apis mellifera	Ellegaard et al. (2020)	"Switzerland, Engel apiary"	No
2758568559	NA 	Ga0227358		ESL0295		Firm4	firm4_1	Lactobacillus mellis	Apis mellifera	Ellegaard et al. (2020)	"Switzerland, Engel apiary"	No
2758568557	NA 	Ga0227360		ESL0394		Firm4	firm4_1	Lactobacillus mellis	Apis mellifera	Ellegaard et al. (2020)	"Switzerland, Engel apiary"	No
2808606958	NA 	Ga0326456		ESL0449		Firm4	firm4_1	Lactobacillus mellis	Apis cerana	Ellegaard et al. (2020)	"Japan, Tsukuba"	Yes
	NZ_JACFR	H3T38		W8088		Firm4	firm4_1	Lactobacillus	Apis mellifera	"Wu, J. and Zheng, H."	China	No
2630968413	JXJQ00000000.1	Ga0072399	JG30	Bin4		Firm4	firm4_2	Lactobacillus mellifer	Apis mellifera	Ellegaard et al. (2015)	"Sweden, Jamtland"	Yes
	NZ_JACFPF	H3R26		W8092		Firm4	firm4_2	Lactobacillus	Apis mellifera	"Wu, J. and Zheng, H."	China	No
2617270727	FOMN00000000	Ga0061072		R-53102		Firm5		Lactobacillus bombicola	Bombus lapidarius	DOE Joint genome institute	"Belgium, Ghent"	
2684622912	CP029476	Ga0133563		ESL0185		Firm5	firm5_1	Lactobacillus apis	Apis mellifera	Ellegaard_Engel (2018)	"Switzerland, Engel apiary"	Yes
2617270705	FMAN00000000.1	Ga0061073	R-53131	LMG 26964		Firm5	firm5_1	Lactobacillus apis	Apis mellifera	DOE Joint genome institute	Czech republic (type strain)	No
2630968657	JXLG00000000.1	Ga0072402 	JF72	ESL0353	Hma11	Firm5	firm5_1	Lactobacillus apis	Apis mellifera	Ellegaard et al.(2015)	"Sweden,Jamtland"	No
2758568511	REHL00000000	Ga0226842		ESL0263		Firm5	firm5_1	Lactobacillus apis	Apis mellifera	Ellegaard et al. (2019)	"Switzerland, Engel apiary"	No
	NZ_JACFPG	H3R21		W8172		Firm5	firm5_1	Lactobacillus	Apis mellifera	"Wu, J. and Zheng, H."	China	No
	NZ_JACFPH	H3R25		M0390		Firm5	firm5_1	Lactobacillus	Apis mellifera	"Wu, J. and Zheng, H."	China	No
	NZ_JACFQV	H3T48		M0403		Firm5	firm5_1	Lactobacillus	Apis mellifera	"Wu, J. and Zheng, H."	China	No
2684622914	CP029544/CP029545	Ga0133561		ESL0183		Firm5	firm5_2	Lactobacillus helsingborgensis	Apis mellifera	Ellegaard_Engel (2018)	"Switzerland, Engel apiary"	Yes
