Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,10-22-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,10-22-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye CY5 is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye CY5 performed on,10-22-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,10-22-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,10-22-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye MUSTANG PURPLE is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye MUSTANG PURPLE performed on,10-22-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,H2,false,F05,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,23.759869,23.780846,0.037133,,,,,,false,1,true,3,16,Amp,,0.983204,N,N,N,N,80.561409,,,
87,H3,false,F05,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,23.823719,23.780846,0.037133,,,,,,false,1,true,3,16,Amp,,0.969037,N,N,N,N,81.009773,,,
88,H4,false,F07,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,23.973028,24.310633,0.374671,,,,,,false,1,true,3,15,Amp,,0.977098,N,N,N,N,81.009773,,,
89,H5,false,F07,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,24.245138,24.310633,0.374671,,,,,,false,1,true,3,16,Amp,,0.976573,N,N,N,N,80.710258,,,
90,H6,false,F07,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,24.713734,24.310633,0.374671,,,,,,false,1,true,3,17,Amp,,0.983011,N,N,N,N,80.710258,,,
91,H7,false,F09,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,24.266436,24.289465,0.104477,,,,,,false,1,true,3,16,Amp,,0.97773,N,N,N,N,80.709435,,,
92,H8,false,F09,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,24.198421,24.289465,0.104477,,,,,,false,1,true,3,16,Amp,,0.972862,N,N,N,N,80.709435,,,
93,H9,false,F09,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,24.403534,24.289465,0.104477,,,,,,false,1,true,3,16,Amp,,0.966168,N,N,N,N,80.859039,,,
94,H10,false,NEG control,Actin_0113/0114,NTC,SYBR,None,,,,,,,Undetermined,,,,,,,,false,1,true,3,39,No Amp,,0,N,N,N,Y,81.156998,89.350922,74.15493,68.344696
95,H11,false,NEG control,Actin_0113/0114,NTC,SYBR,None,,,,,,,Undetermined,,,,,,,,false,1,true,3,39,No Amp,,0,N,N,N,Y,81.45369,73.55806,,
96,H12,false,NEG control,Actin_0113/0114,NTC,SYBR,None,,,,,,,Undetermined,,,,,,,,false,1,true,3,39,No Amp,,0,N,N,N,Y,84.582153,91.434967,79.368057,87.561638
1,A1,false,N11,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,14.149941,14.170121,0.060366,,-9.910408,0.261106,0.15075,,false,1,true,3,7,Amp,,0.956873,N,Y,N,82.796791,N,64.918129,,
2,A2,false,N11,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,14.237992,14.170121,0.060366,,-9.910408,0.261106,0.15075,,false,1,true,3,7,Amp,,0.960419,N,Y,N,82.796791,N,65.067116,,
3,A3,false,N11,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,14.12243,14.170121,0.060366,,-9.910408,0.261106,0.15075,,false,1,true,3,7,Amp,,0.961941,N,Y,N,83.094772,N,64.917816,,
4,A4,false,N13,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,14.019461,13.972308,0.059022,,-10.809855,0.096813,0.055895,,false,1,true,3,7,Amp,,0.945946,N,Y,N,83.094772,N,64.619835,,
5,A5,false,N13,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,13.906116,13.972308,0.059022,,-10.809855,0.096813,0.055895,,false,1,true,3,7,Amp,,0.968217,N,Y,N,82.944687,N,64.470711,,
6,A6,false,N13,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,13.991345,13.972308,0.059022,,-10.809855,0.096813,0.055895,,false,1,true,3,7,Amp,,0.969157,N,Y,N,82.944687,N,64.470711,,
13,B1,false,N11,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,24.206326,24.08053,0.254032,,,,,,false,1,true,3,14,Amp,,0.975611,N,N,N,80.710945,N,,,
14,B2,false,N11,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,23.788145,24.08053,0.254032,,,,,,false,1,true,3,16,Amp,,0.949774,N,N,N,80.561958,N,,,
15,B3,false,N11,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,24.247118,24.08053,0.254032,,,,,,false,1,true,3,15,Amp,,0.984199,N,N,N,81.008896,N,,,
16,B4,false,N13,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,24.693653,24.782164,0.076741,,,,,,false,1,true,3,16,Amp,,0.98252,N,N,N,81.008896,N,,,
17,B5,false,N13,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,24.830116,24.782164,0.076741,,,,,,false,1,true,3,16,Amp,,0.983857,N,N,N,80.858917,N,,,
18,B6,false,N13,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,24.82272,24.782164,0.076741,,,,,,false,1,true,3,16,Amp,,0.984982,N,N,N,80.858917,N,,,
25,C1,false,F11,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,14.928313,14.933547,0.039641,,-9.449946,0.04824,0.027851,,false,1,true,3,8,Amp,,0.948419,N,Y,N,82.349823,N,64.769142,,
26,C2,false,F11,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,14.896781,14.933547,0.039641,,-9.449946,0.04824,0.027851,,false,1,true,3,7,Amp,,0.975247,N,Y,N,82.349823,N,64.769142,,
27,C3,false,F11,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,14.975544,14.933547,0.039641,,-9.449946,0.04824,0.027851,,false,1,true,3,7,Amp,,0.983564,N,Y,N,82.647797,N,64.619835,,
28,C4,false,F13,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,14.736137,15.013484,0.241849,,-9.710712,0.299223,0.172756,,false,1,true,3,7,Amp,,0.975092,N,Y,N,82.49881,N,64.47084,,
29,C5,false,F13,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,15.180443,15.013484,0.241849,,-9.710712,0.299223,0.172756,,false,1,true,3,8,Amp,,0.957826,N,Y,N,82.795708,N,64.768684,,
30,C6,false,F13,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,15.123873,15.013484,0.241849,,-9.710712,0.299223,0.172756,,false,1,true,3,7,Amp,,0.965323,N,Y,N,82.795708,N,64.768684,,
37,D1,false,F11,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,24.353937,24.383492,0.027489,,,,,,false,1,true,3,15,Amp,,0.970197,N,N,N,80.710945,N,,,
38,D2,false,F11,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,24.388243,24.383492,0.027489,,,,,,false,1,true,3,15,Amp,,0.973854,N,N,N,80.561958,N,,,
39,D3,false,F11,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,24.408297,24.383492,0.027489,,,,,,false,1,true,3,16,Amp,,0.982259,N,N,N,81.008896,N,,,
40,D4,false,F13,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,24.662191,24.724197,0.176191,,,,,,false,1,true,3,16,Amp,,0.986315,N,N,N,80.859901,N,,,
41,D5,false,F13,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,24.923008,24.724197,0.176191,,,,,,false,1,true,3,16,Amp,,0.969409,N,N,N,80.858917,N,,,
42,D6,false,F13,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,24.58739,24.724197,0.176191,,,,,,false,1,true,3,16,Amp,,0.978757,N,N,N,80.858917,N,,,
49,E1,false,N12,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,14.427428,14.504537,0.084433,,-10.314201,0.204776,0.118227,,false,1,true,3,7,Amp,,0.943399,N,Y,N,82.647797,N,64.769142,,
50,E2,false,N12,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,14.491424,14.504537,0.084433,,-10.314201,0.204776,0.118227,,false,1,true,3,7,Amp,,0.964229,N,Y,N,82.647797,N,64.620155,,
51,E3,false,N12,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,14.59476,14.504537,0.084433,,-10.314201,0.204776,0.118227,,false,1,true,3,8,Amp,,0.974122,N,Y,N,82.945786,N,64.619835,,
52,E4,false,POS control,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,14.100148,14.041129,0.184892,,,,,,false,1,true,3,7,Amp,,0.96426,N,N,N,83.094772,N,,,
53,E5,false,POS control,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,14.189305,14.041129,0.184892,,,,,,false,1,true,3,7,Amp,,0.9747,N,N,N,82.944687,N,,,
54,E6,false,POS control,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,13.833932,14.041129,0.184892,,,,,,false,1,true,3,7,Amp,,0.982711,N,N,N,82.944687,N,,,
61,F1,false,N12,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,24.620703,24.818739,0.186559,,,,,,false,1,true,3,16,Amp,,0.97103,N,N,N,80.561958,N,,,
62,F2,false,N12,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,24.991177,24.818739,0.186559,,,,,,false,1,true,3,16,Amp,,0.973944,N,N,N,80.561958,N,,,
63,F3,false,N12,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,24.844336,24.818739,0.186559,,,,,,false,1,true,3,16,Amp,,0.981662,N,N,N,81.008896,N,,,
64,F4,false,POS control,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,14.430502,14.134705,0.679585,,,,,,false,1,true,3,7,Amp,,0.977061,N,N,N,81.306877,Y,,,
65,F5,false,POS control,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,13.35735,14.134705,0.679585,,,,,,false,1,true,3,7,Amp,,0.980224,N,N,N,81.007904,Y,,,
66,F6,false,POS control,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,14.61626,14.134705,0.679585,,,,,,false,1,true,3,7,Amp,,0.981352,N,N,N,81.156891,Y,,,
73,G1,false,F12,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,15.064062,15.07186,0.00683,,-8.752051,0.256101,0.14786,,false,1,true,3,8,Amp,,0.9497,N,Y,N,82.349823,N,65.067116,,
74,G2,false,F12,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,15.076781,15.07186,0.00683,,-8.752051,0.256101,0.14786,,false,1,true,3,7,Amp,,0.942453,N,Y,N,82.349823,N,64.918129,,
75,G3,false,F12,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,15.074737,15.07186,0.00683,,-8.752051,0.256101,0.14786,,false,1,true,3,8,Amp,,0.929531,N,Y,N,82.796791,N,64.917816,,
76,G4,false,NEG control,UV_0356/0772,NTC,SYBR,None,,,,,,,34.107716,34.052578,0.050702,,,,,,false,1,true,3,25,Amp,,0.958358,Y,N,N,82.945786,N,,,
77,G5,false,NEG control,UV_0356/0772,NTC,SYBR,None,,,,,,,34.042046,34.052578,0.050702,,,,,,false,1,true,3,26,Amp,,0.960545,Y,N,N,82.795708,N,,,
78,G6,false,NEG control,UV_0356/0772,NTC,SYBR,None,,,,,,,34.007965,34.052578,0.050702,,,,,,false,1,true,3,26,Amp,,0.95636,Y,N,N,82.646721,N,,,
85,H1,false,F12,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,23.528341,23.823912,0.25601,,,,,,false,1,true,3,15,Amp,,0.969929,N,N,Y,80.561958,N,,,
86,H2,false,F12,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,23.976124,23.823912,0.25601,,,,,,false,1,true,3,16,Amp,,0.970452,N,N,N,80.561958,N,,,
87,H3,false,F12,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,23.96727,23.823912,0.25601,,,,,,false,1,true,3,15,Amp,,0.971872,N,N,N,81.008896,N,,,
88,H4,false,NEG control,Actin_0113/0114,NTC,SYBR,None,,,,,,,Undetermined,,,,,,,,false,1,true,3,39,No Amp,,0,N,Y,N,89.501404,N,82.945786,75.049232,60.597065
89,H5,false,NEG control,Actin_0113/0114,NTC,SYBR,None,,,,,,,Undetermined,,,,,,,,false,1,true,3,39,No Amp,,0,N,Y,N,87.861153,N,83.689606,,
90,H6,false,NEG control,Actin_0113/0114,NTC,SYBR,None,,,,,,,Undetermined,,,,,,,,false,1,true,3,39,No Amp,,0,N,Y,N,86.371315,N,73.409737,83.540627,89.053024
1,A1,false,N01,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,14.413489,14.558948,0.136337,,-9.430372,0.142506,0.082276,,false,1,true,3,8,Amp,,0.946736,Y,N,N,82.196014,65.213829,,,
2,A2,false,N01,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,14.579531,14.558948,0.136337,,-9.430372,0.142506,0.082276,,false,1,true,3,7,Amp,,0.952761,Y,N,N,82.196014,65.362793,,,
3,A3,false,N01,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,14.683823,14.558948,0.136337,,-9.430372,0.142506,0.082276,,false,1,true,3,8,Amp,,0.970046,Y,N,N,82.646019,65.214775,,,
4,A4,false,F02,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,15.422567,15.110507,0.504345,,-7.936176,0.975602,0.563264,,false,1,true,3,8,Amp,,0.960979,Y,Y,N,81.901093,64.916809,,,
5,A5,false,F02,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,15.380303,15.110507,0.504345,,-7.936176,0.975602,0.563264,,false,1,true,3,8,Amp,,0.944539,Y,Y,N,81.60025,64.916382,,,
6,A6,false,F02,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,14.528651,15.110507,0.504345,,-7.936176,0.975602,0.563264,,false,1,true,3,7,Amp,,0.929481,Y,Y,N,81.60025,64.916382,,,
13,B1,false,N01,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,23.941431,23.989319,0.041475,,,,,,false,1,true,3,15,Amp,,0.976365,N,N,N,80.706345,,,,
14,B2,false,N01,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,24.01281,23.989319,0.041475,,,,,,false,1,true,3,16,Amp,,0.973967,N,N,N,80.706345,,,,
15,B3,false,N01,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,24.013718,23.989319,0.041475,,,,,,false,1,true,3,16,Amp,,0.964433,N,N,N,81.007187,,,,
16,B4,false,F02,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,23.688618,23.046682,0.835126,,,,,,false,1,true,3,15,Amp,,0.984967,N,Y,N,81.007187,,,,
17,B5,false,F02,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,23.348913,23.046682,0.835126,,,,,,false,1,true,3,15,Amp,,0.975759,N,Y,N,80.855438,,,,
18,B6,false,F02,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,22.102518,23.046682,0.835126,,,,,,false,1,true,3,15,Amp,,0.962389,N,Y,N,80.855438,,,,
25,C1,false,N02,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,14.971377,14.838573,0.225525,,-9.279873,0.397247,0.229351,,false,1,true,3,7,Amp,,0.96094,Y,N,N,82.642914,64.76693,,,
26,C2,false,N02,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,14.966165,14.838573,0.225525,,-9.279873,0.397247,0.229351,,false,1,true,3,8,Amp,,0.95563,Y,N,N,82.642914,64.76693,,,
27,C3,false,N02,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,14.578176,14.838573,0.225525,,-9.279873,0.397247,0.229351,,false,1,true,3,7,Amp,,0.949004,Y,N,Y,82.943985,64.618835,,,
28,C4,false,F03,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,15.809367,15.880734,0.076969,,-7.522292,0.119588,0.069044,,false,1,true,3,8,Amp,,0.962725,Y,N,N,81.603119,64.916809,,,
29,C5,false,F03,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,15.96229,15.880734,0.076969,,-7.522292,0.119588,0.069044,,false,1,true,3,8,Amp,,0.958865,Y,N,N,81.60025,64.767418,,,
30,C6,false,F03,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,15.870548,15.880734,0.076969,,-7.522292,0.119588,0.069044,,false,1,true,3,8,Amp,,0.954578,Y,N,N,81.60025,64.767418,,,
37,D1,false,N02,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,24.33555,24.118444,0.327022,,,,,,false,1,true,3,16,Amp,,0.966351,N,N,N,80.706345,,,,
38,D2,false,N02,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,23.742325,24.118444,0.327022,,,,,,false,1,true,3,16,Amp,,0.965626,N,N,N,80.557381,,,,
39,D3,false,N02,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,24.27746,24.118444,0.327022,,,,,,false,1,true,3,17,Amp,,0.958601,N,N,N,81.007187,,,,
40,D4,false,F03,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,23.341791,23.403028,0.091526,,,,,,false,1,true,3,16,Amp,,0.960723,N,N,N,81.007187,,,,
41,D5,false,F03,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,23.508242,23.403028,0.091526,,,,,,false,1,true,3,16,Amp,,0.970086,N,N,N,80.855438,,,,
42,D6,false,F03,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,23.359049,23.403028,0.091526,,,,,,false,1,true,3,16,Amp,,0.9657,N,N,N,80.855438,,,,
49,E1,false,N03,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,15.140861,15.396445,0.247785,,-9.270708,0.24942,0.144003,,false,1,true,3,8,Amp,,0.959899,Y,N,N,82.642914,64.468994,,,
50,E2,false,N03,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,15.412858,15.396445,0.247785,,-9.270708,0.24942,0.144003,,false,1,true,3,8,Amp,,0.951591,Y,N,N,82.642914,64.32003,,,
51,E3,false,N03,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,15.635614,15.396445,0.247785,,-9.270708,0.24942,0.144003,,false,1,true,3,8,Amp,,0.926565,Y,N,N,83.092972,64.618835,,,
52,E4,false,POS control,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,14.884867,14.956981,0.258189,,,,,,false,1,true,3,7,Amp,,0.982251,N,N,N,82.943985,,,,
53,E5,false,POS control,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,14.742514,14.956981,0.258189,,,,,,false,1,true,3,7,Amp,,0.972477,N,N,N,83.089882,,,,
54,E6,false,POS control,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,15.243559,14.956981,0.258189,,,,,,false,1,true,3,8,Amp,,0.963784,N,N,N,83.089882,,,,
61,F1,false,N03,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,24.695717,24.667152,0.028514,,,,,,false,1,true,3,17,Amp,,0.972859,N,N,N,80.706345,,,,
62,F2,false,N03,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,24.638689,24.667152,0.028514,,,,,,false,1,true,3,17,Amp,,0.969928,N,N,N,80.706345,,,,
63,F3,false,N03,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,24.667051,24.667152,0.028514,,,,,,false,1,true,3,17,Amp,,0.957499,N,N,N,81.007187,,,,
64,F4,false,NEG control,Actin_0113/0114,NTC,SYBR,None,,,,,,,Undetermined,,,,,,,,false,1,true,3,39,No Amp,,0,Y,N,N,89.648315,73.557938,80.8582,,
65,F5,false,NEG control,Actin_0113/0114,NTC,SYBR,None,,,,,,,Undetermined,,,,,,,,false,1,true,3,39,No Amp,,0,Y,N,N,91.431808,86.218109,71.768684,67.448753,
66,F6,false,NEG control,Actin_0113/0114,NTC,SYBR,None,,,,,,,Undetermined,,,,,,,,false,1,true,3,39,No Amp,,0,N,N,N,86.516029,,,,
73,G1,false,F01,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,15.92842,16.073395,0.126738,,-7.074512,0.382572,0.220878,,false,1,true,3,8,Amp,,0.957452,Y,N,N,81.749115,65.064865,,,
74,G2,false,F01,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,16.128572,16.073395,0.126738,,-7.074512,0.382572,0.220878,,false,1,true,3,8,Amp,,0.961394,Y,N,N,81.600143,64.915894,,,
75,G3,false,F01,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,16.163189,16.073395,0.126738,,-7.074512,0.382572,0.220878,,false,1,true,3,8,Amp,,0.946713,Y,N,N,82.050079,64.916809,,,
76,G4,false,NEG control,UV_0356/0772,NTC,SYBR,None,,,,,,,35.042133,35.124752,0.074727,,,,,,false,1,true,3,27,Amp,,0.953606,N,N,N,83.092972,,,,
77,G5,false,NEG control,UV_0356/0772,NTC,SYBR,None,,,,,,,35.14451,35.124752,0.074727,,,,,,false,1,true,3,27,Amp,,0.961512,Y,N,N,82.791954,65.065346,,,
78,G6,false,NEG control,UV_0356/0772,NTC,SYBR,None,,,,,,,35.18762,35.124752,0.074727,,,,,,false,1,true,3,26,Amp,,0.959667,N,N,N,82.791954,,,,
85,H1,false,F01,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,22.866634,23.147905,0.360969,,,,,,false,1,true,3,16,Amp,,0.974215,N,N,N,80.557381,,,,
86,H2,false,F01,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,23.022152,23.147905,0.360969,,,,,,false,1,true,3,15,Amp,,0.970911,N,N,N,80.557381,,,,
87,H3,false,F01,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,23.554932,23.147905,0.360969,,,,,,false,1,true,3,16,Amp,,0.982711,N,N,N,81.007187,,,,
88,H4,false,POS control,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,12.645851,13.089805,0.528051,,,,,,false,1,true,3,6,Amp,,0.982609,N,Y,N,81.305153,,,,
89,H5,false,POS control,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,13.673743,13.089805,0.528051,,,,,,false,1,true,3,7,Amp,,0.982139,N,Y,N,81.004395,,,,
90,H6,false,POS control,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,12.949818,13.089805,0.528051,,,,,,false,1,true,3,6,Amp,,0.983515,N,Y,N,81.004395,,,,
1,A1,false,N14,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,15.219811,15.119499,0.087253,,-9.876688,0.155321,0.089675,,false,1,true,3,7,Amp,,0.951841,Y,N,N,82.945709,64.470345,,,
2,A2,false,N14,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,15.061207,15.119499,0.087253,,-9.876688,0.155321,0.089675,,false,1,true,3,8,Amp,,0.955281,Y,N,N,82.796715,64.619339,,,
3,A3,false,N14,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,15.077481,15.119499,0.087253,,-9.876688,0.155321,0.089675,,false,1,true,3,7,Amp,,0.964576,Y,N,N,83.093643,64.619606,,,
4,A4,false,F15,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,16.8108,16.861877,0.054102,,-7.102875,0.248807,0.143649,,false,1,true,3,9,Amp,,0.968511,Y,N,N,82.79567,64.917572,,,
5,A5,false,F15,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,16.918568,16.861877,0.054102,,-7.102875,0.248807,0.143649,,false,1,true,3,9,Amp,,0.968326,Y,N,N,82.647217,64.767838,,,
6,A6,false,F15,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,16.856268,16.861877,0.054102,,-7.102875,0.248807,0.143649,,false,1,true,3,9,Amp,,0.961557,Y,N,N,82.647217,64.767838,,,
13,B1,false,N14,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,24.850874,24.996187,0.128498,,,,,,false,1,true,3,16,Amp,,0.976828,N,N,N,80.710785,,,,
14,B2,false,N14,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,25.042871,24.996187,0.128498,,,,,,false,1,true,3,15,Amp,,0.979071,N,N,N,80.710785,,,,
15,B3,false,N14,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,25.094818,24.996187,0.128498,,,,,,false,1,true,3,17,Amp,,0.968893,N,N,N,81.007858,,,,
16,B4,false,F15,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,24.065151,23.964752,0.242854,,,,,,false,1,true,3,15,Amp,,0.980329,N,N,N,81.007858,,,,
17,B5,false,F15,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,24.141312,23.964752,0.242854,,,,,,false,1,true,3,16,Amp,,0.966626,N,N,N,80.859276,,,,
18,B6,false,F15,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,23.6878,23.964752,0.242854,,,,,,false,1,true,3,16,Amp,,0.981305,N,N,N,80.859276,,,,
25,C1,false,N15,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,15.379784,15.5123,0.115933,,-9.795843,0.206113,0.118999,,false,1,true,3,8,Amp,,0.966714,Y,N,N,82.796715,64.470345,,,
26,C2,false,N15,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,15.562123,15.5123,0.115933,,-9.795843,0.206113,0.118999,,false,1,true,3,9,Amp,,0.970734,Y,N,N,82.796715,64.470345,,,
27,C3,false,N15,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,15.594992,15.5123,0.115933,,-9.795843,0.206113,0.118999,,false,1,true,3,8,Amp,,0.953034,Y,N,N,83.093643,64.619606,,,
28,C4,false,F16,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,16.705832,16.752729,0.044944,,-7.62352,0.09173,0.05296,,false,1,true,3,8,Amp,,0.965258,Y,N,N,82.79567,64.917572,,,
29,C5,false,F16,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,16.75693,16.752729,0.044944,,-7.62352,0.09173,0.05296,,false,1,true,3,8,Amp,,0.968543,Y,N,N,82.647217,64.618843,,,
30,C6,false,F16,UV_0356/0772,UNKNOWN,SYBR,None,,,,,,,16.795425,16.752729,0.044944,,-7.62352,0.09173,0.05296,,false,1,true,3,9,Amp,,0.964988,Y,N,N,82.647217,64.767838,,,
37,D1,false,N15,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,25.116693,25.308142,0.170417,,,,,,false,1,true,3,16,Amp,,0.971029,N,N,N,80.710785,,,,
38,D2,false,N15,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,25.364464,25.308142,0.170417,,,,,,false,1,true,3,17,Amp,,0.978357,N,N,N,80.710785,,,,
39,D3,false,N15,Actin_0113/0114,UNKNOWN,SYBR,None,,,,,,,25.44327,25.308142,0.170417,,,,,,false,1,true,3,17,Amp,,0.968893,N,N,N,81.007858,,,,
